WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://162.15.15.108:5000
Press CTRL+C to quit
 * Restarting with stat
 * Debugger is active!
 * Debugger PIN: 381-786-089
127.0.0.1 - - [26/Jun/2026 14:51:31] "GET /api/v1/health HTTP/1.1" 200 -
127.0.0.1 - - [26/Jun/2026 14:56:46] "POST /api/v1/procurement/po HTTP/1.1" 201 -
127.0.0.1 - - [26/Jun/2026 14:56:46] "GET /api/v1/procurement/po HTTP/1.1" 200 -
127.0.0.1 - - [26/Jun/2026 14:57:02] "OPTIONS /api/v1/auth/login HTTP/1.1" 200 -
127.0.0.1 - - [26/Jun/2026 14:57:02] "POST /api/v1/auth/login HTTP/1.1" 200 -
127.0.0.1 - - [26/Jun/2026 14:57:02] "OPTIONS /api/v1/vendor/marketplace HTTP/1.1" 200 -
127.0.0.1 - - [26/Jun/2026 14:57:03] "OPTIONS /api/v1/vendor/marketplace HTTP/1.1" 200 -
127.0.0.1 - - [26/Jun/2026 14:57:03] "GET /api/v1/vendor/marketplace HTTP/1.1" 200 -
127.0.0.1 - - [26/Jun/2026 14:57:03] "GET /api/v1/vendor/marketplace HTTP/1.1" 200 -
127.0.0.1 - - [26/Jun/2026 14:57:05] "GET /api/v1/vendor/marketplace HTTP/1.1" 200 -
127.0.0.1 - - [26/Jun/2026 14:57:05] "GET /api/v1/vendor/marketplace HTTP/1.1" 200 -
127.0.0.1 - - [26/Jun/2026 14:57:28] "OPTIONS /api/v1/vendor/bids/submit HTTP/1.1" 200 -
127.0.0.1 - - [26/Jun/2026 14:57:28] "POST /api/v1/vendor/bids/submit HTTP/1.1" 201 -
127.0.0.1 - - [26/Jun/2026 14:57:30] "OPTIONS /api/v1/vendor/marketplace HTTP/1.1" 200 -
127.0.0.1 - - [26/Jun/2026 14:57:30] "OPTIONS /api/v1/vendor/marketplace HTTP/1.1" 200 -
127.0.0.1 - - [26/Jun/2026 14:57:30] "GET /api/v1/vendor/marketplace HTTP/1.1" 200 -
127.0.0.1 - - [26/Jun/2026 14:57:30] "GET /api/v1/vendor/marketplace HTTP/1.1" 200 -
127.0.0.1 - - [26/Jun/2026 14:57:46] "OPTIONS /api/v1/auth/login HTTP/1.1" 200 -
127.0.0.1 - - [26/Jun/2026 14:57:47] "POST /api/v1/auth/login HTTP/1.1" 401 -
127.0.0.1 - - [26/Jun/2026 14:57:58] "OPTIONS /api/v1/auth/login HTTP/1.1" 200 -
127.0.0.1 - - [26/Jun/2026 14:57:58] "POST /api/v1/auth/login HTTP/1.1" 401 -
127.0.0.1 - - [26/Jun/2026 14:59:01] "OPTIONS /api/v1/auth/login HTTP/1.1" 200 -
127.0.0.1 - - [26/Jun/2026 14:59:02] "POST /api/v1/auth/login HTTP/1.1" 401 -
127.0.0.1 - - [26/Jun/2026 14:59:17] "OPTIONS /api/v1/auth/login HTTP/1.1" 200 -
127.0.0.1 - - [26/Jun/2026 14:59:17] "POST /api/v1/auth/login HTTP/1.1" 401 -
127.0.0.1 - - [26/Jun/2026 15:00:50] "OPTIONS /api/v1/auth/login HTTP/1.1" 200 -
127.0.0.1 - - [26/Jun/2026 15:00:50] "POST /api/v1/auth/login HTTP/1.1" 200 -
127.0.0.1 - - [26/Jun/2026 15:00:50] "OPTIONS /api/v1/procurement/po HTTP/1.1" 200 -
127.0.0.1 - - [26/Jun/2026 15:00:51] "OPTIONS /api/v1/procurement/po HTTP/1.1" 200 -
127.0.0.1 - - [26/Jun/2026 15:00:51] "GET /api/v1/procurement/po HTTP/1.1" 200 -
127.0.0.1 - - [26/Jun/2026 15:00:51] "GET /api/v1/procurement/po HTTP/1.1" 200 -
